timestamp,tweet_text,username
11/1/2019 21:02,"Citing damage, litter and other forms of abuse, a popular outdoor recreation area, Dippikill preserve, run by the University of Albany student association has been closed to the general public. 
https://t.co/jFZdqcrtde",RickKarlinTU
11/1/2019 21:02,"RT @hormo_nelson: Imagine holding a PTA meeting in university
Dad: how is my son doing academically
Lecturer: I have never seen this young…",thebiggergeek
11/1/2019 21:02,"RT @janeclarejones: This is what the great young minds of Cambridge University have come to...

DO NOT ARGUE WITH THOSE PEOPLE OVER THERE B…",Badger19711
11/1/2019 21:02,"RT @RWPUSA: Hello @JerryFalwellJr 
I just said that you're NOT a Christian, and that Liberty University is NOT a Christian University.
Now…",dwatchnews_nam
11/1/2019 21:02,RT @malibutahoe: @LastStand2019 @KRNY116 @PamelaGeller 🔴Asked a friend who attends a prestigious university do you ever speakUP against Ant…,MaryOsb36485285
11/1/2019 21:02,RT @ehscounselorsCo: ESTEM HIGH has been recognized by the Office for Education Policy (OEP) at the University of Arkansas as a school wher…,eStemCEO
11/1/2019 21:02,"RT @tariqnasheed: So the UK government banned me from coming to Britain. They banned my Hidden Colors films from being shown there.
And now…",moesnaps78
11/1/2019 21:02,Check out Vermont Cynic 66th annual KAKE WALK 1963 University of Vermont  UVM  https://t.co/0XSsVUp9ke via @eBay,jsbmsma
11/1/2019 21:02,RT @vibesthefest: Which of these schools do you think will win VibesTheFest rap battle this December ? Caleb University or Babcock Universi…,pee_gee2k
11/1/2019 21:02,"Hello November!

The University of Budapest found that babies born in autumn show a significantly lower tendency to depressive temperament than those born in winter.  The time of year can affect how much dopamine… https://t.co/D3l39F3q3m",121breastfeedin
11/1/2019 21:02,"#TeslaNationDocumentary will have the screening at Harvard University, on Friday, November 8th, at 4 pm. William James Hall 105. 
https://t.co/2MM0NYVhzw",ZeljkoMirkovic
11/1/2019 21:02,RT @UISWSoccer: These 5 are special! I can’t express how much they will be missed. They have been amazing ambassadors for our women’s socce…,dakshdesai_
11/1/2019 21:02,"@LanceForman @OwenJones84 I will admit. I am a hypocrite.

Since university, @georgesoros has always had a soft spot in my heart because his story is so fascinating.

In all honesty though, he is the epitome of how a billionaire should conduct themselves regarding philanthropy.",FentrissMoore
11/1/2019 21:02,"@realDonaldTrump With my degree from Tяump University, I've become a multimillionaire real estate investor.  I now own my own rental properties where I discriminate on the basis of race, just like DT teaches.  With an unlimited cash flow, I'm paying the BEST pornstars in the USA to ROCK MY WORLD!",BdayPartyClown
11/1/2019 21:02,RT @mona_fawaz: 👌🏽👇🏽Must-read! President ⁦@DrFadloKhuri⁩ daring &amp; inspiring reflections on Lebanon Protest/ Role of the University: “these…,FalahAbdallah
11/1/2019 21:02,"RT @tonyposnanski: AOC graduated Magna Cum Laude from Boston University and won her election in a landslide.

You barely graduated college,…",Morbydly__Obese
11/1/2019 21:02,"RT @lunarkjd: JJC: Since we’re going to be in Busan, how abt we be Busan University’s Campus Couple? Hello, we are Busan University’s CC!
J…",BearNiniHugs
11/1/2019 21:02,"RT @kerubo_hillary: Stephen Oyando aged 26, currently located in Nairobi has a diploma in IT from KCA University is looking for any form of…",p_kimotho
11/1/2019 21:02,Zavian McLean 3truey has #Ascended to the collegiate level. Congratulations on your commitment to Columbia University. It was an honor and a pleasure working with and for you during this process. Can’t wait to see… https://t.co/NzxkxDSyZU,FredrickCannon1
11/1/2019 21:02,"RT @Anniekidder: ""Education is the key to reconciliation...if we educate  Indigenous children and non-Indigenous children about each other…",Denezy
11/1/2019 21:02,RT @mynameischivo: The University life I saw on tv VS The reality https://t.co/4qn9Blee5H,zaixo_
11/1/2019 21:02,communists who go to college/university in imperialist countries are braver than the troops,_Marxian_
11/1/2019 21:02,"RT @Jay_HorwitzPR: Whatever became of Mike Baxter, the man who sacrificed his body to save the only no-hitter in @Mets history? He is now t…",chassy91
11/1/2019 21:02,"RT @matthewbennett: Young Catalan separatist revolutionaries camping out ""indefinitely"" in University Square in Barcelona want mum to send…",nisenicontesto
11/1/2019 21:02,"Allied Universal is hiring in Jackson, TN! Read about our latest Security Officer Level job opening via the link in our bio: Security Officer - Jackson - University - Friday thru Sunday #SecurityOfficer #SecurityGuard",tmj_TN_secure
11/1/2019 21:02,RT @JoshOverbeek4: Excited to announce that I have verbally committed to play baseball at the University of Pittsburgh! @PerfectGameUSA @Mi…,Midland_Tribe
11/1/2019 21:02,RT @SkinnyBoi001_: Jambito giving another jambito directions in the university https://t.co/T8bLoLlOxV,B_Yahayaa
11/1/2019 21:02,Design Pinnacles &gt; Best Editorial Cartoon goes to The Shorthorn at University of Texas at Arlington #collegemedia19,collegemedia
